ID;P4Edad;RegiónID;LugarEntrevista;Pc1ViveSC;Pc2ViveOtrasPersonas;Pc3RespondióAntes;Pc4RespondióCuestMeses;P10TiempoCalleAños;P10TiempoCalleMeses;P10TiempoCalleDías;P11EdadInicioCalle;P12RazónCalle;P13DurmióAnoche;P14DurmióAnocheLugar;P15AccesoAgua;P15AccesoDucha;P15AccesoWc;P16VecesCalle;P17ASaludVisual;P17BSaludAuditivo;P17CSaludCaminar;P17DSaludRecordar;P17ESaludAseo;P17FSaludEntender;P17GSaludSociable;P17HSaludMotricidad;P17ISaludTrabajar;P17JSaludDormir;P17KSaludRespirar;P17LSaludCuidarOtros;P18EnfCrónica;P19EnfCrónicaTrat;P20AConsumoAlcohol;P20BConsumoMarihuana;P20CConsumoPastaBase;P20DConsumoOtras;P21ProtocoloRsh;P22Indígena;P23AsisteEducac;P24Curso;P25TipoEducación;P26Trabaja;P27Contrato;P28IngresoTrabajo;P29IngresoJubilac;FechaCreación;RSH
43;45 a 59;Tarapacá;7;1;1;2;;;5;;;1;1;;3;3;2;;2;1;2;2;2;1;1;2;2;2;2;2;2;;1;2;1;1;1;;;;;;;;;20170101;Tiene RSH
44;45 a 59;Tarapacá;10;1;1;2;;1;;;;1;2;5;1;1;1;;4;4;1;1;1;1;2;1;1;1;1;2;2;;1;2;2;2;1;;;;;;;;;20180618;Tiene RSH
45;45 a 59;Tarapacá;4;1;2;2;;1;0;0;46;2;1;;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;0;2;4;2;2;;;0;20210908;Tiene RSH
46;45 a 59;Tarapacá;4;1;1;2;;;2;;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170809;Tiene RSH
47;60 o mayor;Tarapacá;7;1;1;2;;5;;;;1;1;;3;3;2;;2;1;1;1;1;1;1;1;1;2;;;2;;1;2;2;2;2;0;2;2;1;1;;58,33333333;0;20170727;Tiene RSH
48;18 a 44;Tarapacá;10;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20180409;Tiene RSH
49;18 a 44;Tarapacá;10;1;1;2;;2;;;25;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20190930;Tiene RSH
50;18 a 44;Tarapacá;1;1;1;2;;0;7;0;12;1;2;3;1;1;1;4;1;1;5;1;1;1;1;1;5;1;5;1;1;2;2;1;2;2;2;0;2;2;2;1;4;120000;0;20210903;Tiene RSH
51;45 a 59;Tarapacá;7;1;1;2;;;3;;;1;1;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;1;2;2;1;;;;;;;;;20170718;Tiene RSH
52;45 a 59;Tarapacá;7;1;1;2;;21;0;0;20;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;1;1;2;;;0;20211008;Tiene RSH
53;45 a 59;Tarapacá;7;1;1;2;;7;0;0;39;1;1;;2;2;2;3;1;1;3;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;2;0;2;1;3;2;;;0;20210910;Tiene RSH
54;18 a 44;Tarapacá;4;1;1;2;;6;0;0;33;5;1;;1;1;1;5;3;1;4;3;1;1;1;1;1;5;1;1;2;;2;2;1;2;2;0;2;3;2;1;4;0;0;20210909;Tiene RSH
55;18 a 44;Tarapacá;4;1;1;2;;10;;;;4;2;5;3;3;2;;4;1;1;1;1;1;1;1;5;1;1;2;1;2;1;1;1;1;1;;;;;;;;;20170728;Tiene RSH
56;45 a 59;Tarapacá;7;1;1;2;;30;0;0;36;2;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;4;2;1;2;80000;0;20210907;Tiene RSH
57;18 a 44;Tarapacá;7;1;1;2;;2;0;0;29;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;2;0;2;4;2;1;4;100000;0;20210928;No tiene RSH
58;45 a 59;Tarapacá;1;1;1;2;;1;0;0;46;2;1;;1;1;1;3;2;2;4;4;1;1;1;1;1;1;3;1;2;;2;2;2;2;2;0;2;4;2;2;;;0;20210902;Tiene RSH
59;45 a 59;Tarapacá;4;1;1;2;;5;0;0;49;2;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;2;0;2;2;2;2;;;0;20211201;Tiene RSH
60;45 a 59;Tarapacá;7;1;1;1;2;8;0;0;40;1;1;;2;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;4;2;4;2;2;;;0;20210910;No tiene RSH
61;60 o mayor;Tarapacá;7;1;1;2;;7;;;;2;1;;3;3;2;;2;1;1;1;1;1;4;1;1;1;1;4;2;;1;2;2;2;1;0;2;6;1;1;4;150000;;20170101;Tiene RSH
62;60 o mayor;Tarapacá;10;1;1;2;;10;;;;1;2;5;1;3;2;;1;1;5;4;3;1;1;1;5;1;1;5;1;1;1;1;1;2;1;;;;;;;;;20180618;Tiene RSH
63;45 a 59;Tarapacá;7;1;1;1;2;12;0;0;42;1;1;;2;2;2;5;3;1;3;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;2;4;2;4;2;1;4;120000;0;20211125;No tiene RSH
64;18 a 44;Tarapacá;7;1;1;1;2;13;0;0;30;1;1;;2;2;2;5;3;3;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;3;2;1;4;400000;0;20211201;Tiene RSH
65;45 a 59;Tarapacá;7;1;1;2;;7;0;0;42;1;1;;2;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;2;2;1;4;300000;0;20210910;Tiene RSH
66;45 a 59;Tarapacá;7;1;1;2;;3;0;0;45;5;1;;2;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;4;2;1;4;300000;0;20210927;Tiene RSH
67;18 a 44;Tarapacá;10;1;1;2;;4;;;;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;1;;;;;;;;;20170724;Tiene RSH
68;60 o mayor;Tarapacá;7;1;1;2;;6;;;;5;1;;1;3;2;;1;1;1;2;2;1;1;1;3;2;2;1;2;;1;2;2;2;1;;;;;;;;;20181127;Tiene RSH
69;18 a 44;Tarapacá;7;1;1;2;;10;;;;5;1;;3;3;2;;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;5;1;2;;;;20170101;Tiene RSH
70;18 a 44;Tarapacá;7;1;1;2;;4;;;;1;2;5;3;3;2;;1;1;1;1;1;1;3;1;2;2;1;3;2;;2;2;1;2;2;0;2;8;1;2;;;;20170913;Tiene RSH
71;60 o mayor;Tarapacá;7;1;1;2;;11;0;0;7;1;1;;2;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;2;0;2;3;1;1;4;50;0;20210926;Tiene RSH
72;45 a 59;Tarapacá;7;1;1;2;;3;;;;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;1;2;2;0;2;8;1;2;;;;20170101;Tiene RSH
73;60 o mayor;Tarapacá;7;1;1;2;;14;0;0;56;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;1;1;1;4;150000;160000;20210929;Tiene RSH
74;18 a 44;Tarapacá;7;1;1;2;;2;0;0;30;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;2;0;2;4;2;2;;;0;20210927;Tiene RSH
75;18 a 44;Tarapacá;7;1;1;2;;2;0;0;9;6;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;2;0;2;3;2;2;;;0;20210903;No tiene RSH
76;45 a 59;Tarapacá;7;1;1;2;;1;0;0;53;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;0;2;4;2;1;4;250000;0;20210927;Tiene RSH
77;45 a 59;Tarapacá;7;1;1;2;;10;;;;1;1;;1;2;2;;1;1;1;1;1;1;1;2;2;2;1;1;2;;1;2;1;2;1;;;;;;;;;20180830;Tiene RSH
78;60 o mayor;Tarapacá;7;1;1;2;;30;0;0;39;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;2;2;1;2;;;110;20210926;Tiene RSH
79;60 o mayor;Tarapacá;10;1;1;2;;20;;;;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20180813;Tiene RSH
80;18 a 44;Tarapacá;7;1;1;2;;14;;;;1;1;;3;3;2;;2;2;1;1;1;1;1;1;1;2;1;1;2;;1;1;1;2;1;;;;;;;;;20170830;Tiene RSH
81;45 a 59;Tarapacá;7;1;1;2;;30;0;0;26;1;1;;2;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;4;2;2;;;0;20210907;Tiene RSH
82;18 a 44;Tarapacá;7;1;1;2;;10;0;0;31;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;8;1;1;4;200;0;20210927;Tiene RSH
83;18 a 44;Tarapacá;7;1;1;2;;10;0;0;35;1;1;;2;2;2;4;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;1;2;2;2;1;4;150;0;20210927;No tiene RSH
84;45 a 59;Tarapacá;10;1;1;2;;20;;;;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;2;2;;1;1;1;2;1;;;;;;;;;20170803;Tiene RSH
85;45 a 59;Tarapacá;6;1;1;1;;11;;;;2;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
86;45 a 59;Tarapacá;4;1;1;2;;3;0;0;48;2;2;5;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;2;0;2;3;2;1;4;350000;0;20211112;Tiene RSH
87;45 a 59;Tarapacá;7;1;1;2;;8;;;;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;2;0;2;1;2;1;4;33333,33333;;20170101;Tiene RSH
88;45 a 59;Tarapacá;7;1;1;2;;20;0;0;40;2;1;;2;2;2;5;1;1;3;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;4;2;1;4;200000;0;20210929;Tiene RSH
89;45 a 59;Tarapacá;10;1;1;2;;20;;;;5;2;5;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;1;;;;;;;;;20171227;Tiene RSH
90;60 o mayor;Tarapacá;4;1;1;2;;15;0;0;52;8;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;4;2;2;;;0;20210927;Tiene RSH
91;60 o mayor;Tarapacá;10;1;1;2;;10;;;11;5;2;5;3;3;2;;4;3;3;1;1;1;3;2;2;1;1;3;1;2;1;2;2;2;1;;;;;;;;;20170803;Tiene RSH
92;60 o mayor;Tarapacá;4;1;1;2;;3;;;;1;1;;1;1;1;;2;1;3;1;1;1;1;1;4;1;1;5;1;2;2;2;2;2;1;;;;;;;;;20170623;Tiene RSH
93;45 a 59;Tarapacá;10;1;1;2;;5;;;;1;2;5;1;2;1;;3;1;1;1;1;1;1;1;1;1;1;2;2;;1;1;1;2;1;;;;;;;;;20170731;Tiene RSH
94;45 a 59;Tarapacá;7;1;1;2;;2;0;0;56;1;2;6;1;1;1;3;3;4;2;2;1;1;1;1;2;1;1;1;2;;1;2;2;2;2;1;2;1;2;2;;;0;20210927;Tiene RSH
95;18 a 44;Tarapacá;7;1;1;2;;;11;;31;5;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
96;18 a 44;Tarapacá;7;1;1;1;2;5;0;0;25;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;0;2;2;2;1;4;50000;0;20211110;Tiene RSH
97;45 a 59;Tarapacá;4;1;1;2;;3;0;0;50;1;2;5;2;2;2;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;0;2;8;1;2;;;150000;20211112;Tiene RSH
98;60 o mayor;Tarapacá;7;1;1;2;;40;0;0;8;2;2;5;2;2;2;5;4;4;4;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;2;0;2;4;2;2;;;0;20210908;Tiene RSH
99;18 a 44;Tarapacá;7;1;2;2;;1;10;0;20;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;1;2;2;0;2;7;2;1;4;200000;0;20210929;Tiene RSH
100;45 a 59;Tarapacá;7;1;1;2;;1;;;;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20170101;No tiene RSH
101;45 a 59;Tarapacá;7;1;1;2;;10;;;;1;1;;3;3;2;;3;1;1;1;1;1;1;1;1;3;1;1;2;;2;2;2;2;2;0;2;4;1;2;;;;20170101;No tiene RSH
102;18 a 44;Tarapacá;7;1;1;2;;10;0;0;17;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;5;1;1;4;150000;0;20210929;Tiene RSH
103;60 o mayor;Tarapacá;4;1;1;2;;1;;7;7;1;1;;1;1;1;;2;1;1;1;1;1;1;2;4;1;1;2;1;2;2;2;2;2;1;;;;;;;;;20180122;Tiene RSH
104;18 a 44;Tarapacá;10;1;1;2;;;5;;13;2;2;4;1;1;1;;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170724;Tiene RSH
105;45 a 59;Tarapacá;7;1;1;2;;6;0;0;9;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;2;0;2;1;1;1;4;300000;0;20211008;No tiene RSH
106;60 o mayor;Tarapacá;4;1;1;2;;15;;;;9;2;5;1;2;2;;5;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20180214;Tiene RSH
107;60 o mayor;Tarapacá;7;1;1;2;;30;;;;1;1;;3;3;2;;1;1;3;3;1;2;1;1;1;2;4;1;1;1;1;2;1;2;1;;;;;;;;;20170101;Tiene RSH
108;18 a 44;Tarapacá;7;1;1;2;;5;0;0;10;1;1;;2;2;2;5;1;1;3;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;3;2;1;4;200000;0;20210928;Tiene RSH
109;45 a 59;Tarapacá;10;1;1;2;;6;;;;1;2;5;3;3;2;;3;2;2;2;2;2;2;3;3;2;2;3;1;1;2;2;2;2;;;;;;;;;;20190625;Tiene RSH
110;45 a 59;Tarapacá;7;1;1;2;;21;0;0;33;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;3;1;1;1;2;;1;1;2;1;2;4;2;3;1;1;4;100000;0;20210907;Tiene RSH
111;18 a 44;Tarapacá;7;1;1;2;;4;0;0;22;1;1;;2;2;2;5;1;1;3;1;1;1;1;1;1;1;1;1;2;;2;2;1;1;2;0;2;4;2;1;4;150000;0;20210910;Tiene RSH
112;18 a 44;Tarapacá;7;1;1;2;;2;;;;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20181126;Tiene RSH
113;60 o mayor;Tarapacá;7;1;1;1;2;15;0;0;12;5;2;6;2;2;2;5;1;3;3;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;1;2;1;2;1;4;80000;0;20211125;Tiene RSH
114;18 a 44;Tarapacá;7;1;1;2;;5;0;0;30;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;0;2;4;2;1;4;300;0;20210927;Tiene RSH
115;45 a 59;Tarapacá;4;1;2;2;;0;3;0;35;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;2;0;2;3;3;2;;;0;20210908;Tiene RSH
116;45 a 59;Tarapacá;7;1;1;2;;20;0;0;16;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;2;9;2;4;2;1;4;300000;0;20210929;No tiene RSH
117;45 a 59;Tarapacá;7;1;1;2;;20;0;0;17;1;1;;2;2;2;5;1;1;1;1;3;1;1;3;2;2;1;1;2;;1;1;2;2;1;;;;;;;;;20211125;No tiene RSH
118;60 o mayor;Tarapacá;4;1;1;2;;7;;;;1;1;;1;1;1;;3;4;3;1;;;1;1;5;1;1;5;1;1;2;2;2;2;1;;;;;;;;;20170623;Tiene RSH
