ID;P4Edad;RegiónID;LugarEntrevista;Pc1ViveSC;Pc2ViveOtrasPersonas;Pc3RespondióAntes;Pc4RespondióCuestMeses;P10TiempoCalleAños;P10TiempoCalleMeses;P10TiempoCalleDías;P11EdadInicioCalle;P12RazónCalle;P13DurmióAnoche;P14DurmióAnocheLugar;P15AccesoAgua;P15AccesoDucha;P15AccesoWc;P16VecesCalle;P17ASaludVisual;P17BSaludAuditivo;P17CSaludCaminar;P17DSaludRecordar;P17ESaludAseo;P17FSaludEntender;P17GSaludSociable;P17HSaludMotricidad;P17ISaludTrabajar;P17JSaludDormir;P17KSaludRespirar;P17LSaludCuidarOtros;P18EnfCrónica;P19EnfCrónicaTrat;P20AConsumoAlcohol;P20BConsumoMarihuana;P20CConsumoPastaBase;P20DConsumoOtras;P21ProtocoloRsh;P22Indígena;P23AsisteEducac;P24Curso;P25TipoEducación;P26Trabaja;P27Contrato;P28IngresoTrabajo;P29IngresoJubilac;FechaCreación;RSH
9969;.;Metropolitana;7;1;1;2;;30;0;0;0;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210331;Tiene RSH
9970;.;Metropolitana;7;1;1;2;;4;0;0;54;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20211118;Tiene RSH
9971;.;Metropolitana;4;1;1;2;;1;;;33;1;1;;1;1;1;;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
9972;.;Metropolitana;6;1;1;2;;1;;;;5;2;6;1;1;1;;2;1;4;2;1;1;1;1;1;3;1;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
9973;.;Metropolitana;6;1;1;2;;1;;;15;3;1;;1;1;1;;1;2;1;3;1;3;2;2;2;2;1;3;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
9974;.;Metropolitana;4;1;1;2;;8;0;0;31;5;1;;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211117;Tiene RSH
9975;.;Metropolitana;10;1;2;2;;3;;;;9;1;;;;;;1;1;6;6;1;6;6;6;6;1;1;6;2;;7;7;7;7;;0;1;;;;;0;0;20200513;Tiene RSH
9976;.;Metropolitana;7;1;1;2;;0;1;0;33;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211108;Tiene RSH
9977;.;Metropolitana;10;1;1;2;;5;;;;9;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;0;2;4;2;1;1;;0;20171204;Tiene RSH
9978;.;Metropolitana;10;1;2;2;;3;;;;9;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;;0;2;5;3;1;4;265000;0;20200513;Tiene RSH
9979;.;Metropolitana;7;1;1;2;;9;0;0;48;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;2;0;2;4;2;1;4;0;100000;20211126;Tiene RSH
9980;.;Metropolitana;1;1;1;2;;1;;;;5;2;5;1;1;1;;1;1;1;3;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20170101;Tiene RSH
9981;.;Metropolitana;7;1;1;2;;1;0;0;0;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210810;Tiene RSH
9982;.;Metropolitana;7;1;1;2;;10;0;0;28;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;1;;;;;;;;;20210712;Tiene RSH
9983;.;Metropolitana;1;1;1;2;;;1;;18;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
9984;.;Metropolitana;1;1;1;2;;22;0;0;25;5;1;;1;1;1;5;2;1;2;4;1;4;1;1;1;1;1;1;1;2;2;2;2;2;1;;;;;;;;;20211102;Tiene RSH
9985;.;Metropolitana;5;1;1;2;;2;;;;5;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
9986;.;Metropolitana;10;1;2;2;;;5;;;1;1;;1;2;1;;4;1;1;3;3;1;1;1;1;1;1;1;2;;2;2;1;2;1;0;2;4;2;2;;0;0;20171130;Tiene RSH
9987;.;Metropolitana;7;1;1;2;;6;0;0;52;1;1;;2;2;2;5;4;1;1;1;4;1;1;1;1;1;1;4;2;;2;1;1;2;2;0;2;2;1;2;;;0;20211214;Tiene RSH
9988;.;Metropolitana;4;1;1;1;2;2;0;0;55;2;1;;1;1;1;5;3;1;4;2;1;1;1;1;1;4;2;1;2;;2;2;2;2;1;;;;;;;;;20211028;Tiene RSH
9989;.;Metropolitana;6;1;1;2;;10;;;;5;1;;1;1;1;;3;1;1;2;1;1;1;1;1;2;1;1;2;;1;2;1;1;1;0;2;2;2;1;4;50;0;20171129;Tiene RSH
9990;.;Metropolitana;7;1;2;2;;2;0;0;0;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20210622;Tiene RSH
9991;.;Metropolitana;1;1;1;2;;20;;;;5;1;;3;3;2;;4;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;20170101;Tiene RSH
9992;.;Metropolitana;6;1;1;2;;;1;;23;1;1;;;;;;2;2;1;1;1;1;1;1;1;2;1;1;2;;2;1;2;2;2;0;2;2;2;1;1;229166,6667;;20170101;Tiene RSH
9993;.;Metropolitana;7;1;1;2;;2;0;0;34;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20210719;Tiene RSH
9994;.;Metropolitana;6;1;2;2;;0;2;0;0;2;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;0;2;4;2;2;;;0;20210607;Tiene RSH
9995;.;Metropolitana;10;1;1;1;2;5;6;;22;1;1;;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;1;2;;1;1;2;2;;0;2;3;2;2;;0;0;20200513;Tiene RSH
9996;.;Metropolitana;7;1;1;2;;1;0;0;30;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210712;Tiene RSH
9997;.;Metropolitana;7;1;1;2;;1;0;0;42;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210713;Tiene RSH
9998;.;Metropolitana;7;1;1;2;;28;0;0;18;1;1;;2;2;2;5;2;1;1;1;1;1;1;1;1;5;1;1;2;;1;1;2;2;1;;;;;;;;;20211028;Tiene RSH
9999;.;Metropolitana;10;1;1;2;;20;;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;;0;2;4;2;2;;50000;0;20200513;Tiene RSH
10000;.;Metropolitana;10;1;1;1;2;5;;;30;5;1;;3;3;2;;1;1;1;1;1;1;1;1;1;3;1;1;2;;2;2;2;2;;0;2;2;2;2;;0;0;20200513;Tiene RSH
10001;.;Metropolitana;10;1;1;1;2;4;;;;2;1;;1;1;1;;4;1;1;1;2;4;1;1;1;1;1;1;1;1;1;1;2;2;;0;2;4;2;2;;127333,3333;0;20200513;Tiene RSH
10002;.;Metropolitana;7;1;1;2;;40;0;0;0;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210413;Tiene RSH
10003;.;Metropolitana;7;1;1;2;;3;;;14;1;2;5;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10004;.;Metropolitana;7;1;1;2;;2;0;0;61;1;1;;2;2;2;5;4;3;4;1;3;1;1;1;1;1;1;1;1;2;2;2;2;2;1;;;;;;;;;20220328;Tiene RSH
10005;.;Metropolitana;7;1;1;2;;19;0;0;6;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210806;Tiene RSH
10006;.;Metropolitana;7;1;1;2;;25;0;0;18;5;1;;2;2;2;5;3;1;1;3;1;1;1;1;1;4;1;1;2;;1;2;2;2;1;;;;;;;;;20210817;Tiene RSH
10007;.;Metropolitana;1;1;2;2;;15;0;0;15;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210930;Tiene RSH
10008;.;Metropolitana;7;1;1;2;;0;0;20;13;5;1;;1;2;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;4;2;4;2;2;;;0;20211115;Tiene RSH
10009;.;Metropolitana;7;1;2;2;;20;0;0;12;1;1;;2;2;2;5;1;1;1;1;1;1;4;1;1;1;1;1;2;;1;2;2;1;2;0;2;4;2;2;;;0;20211116;Tiene RSH
10010;.;Metropolitana;10;1;1;2;;;;;;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;;;;1;0;2;4;2;1;1;;0;20180103;Tiene RSH
10011;.;Metropolitana;7;1;1;2;;35;0;0;8;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20210715;Tiene RSH
10012;.;Metropolitana;7;1;1;2;;7;0;0;59;2;1;;2;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20211116;Tiene RSH
10013;.;Metropolitana;7;1;2;2;;4;0;0;49;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210707;Tiene RSH
10014;.;Metropolitana;7;1;1;2;;8;0;0;23;5;1;;2;2;2;5;3;2;3;1;2;2;1;1;1;3;3;2;1;2;2;2;1;2;1;;;;;;;;;20211013;Tiene RSH
10015;.;Metropolitana;7;1;1;2;;5;;;12;1;1;;3;3;2;;4;2;2;2;2;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10016;.;Metropolitana;7;1;1;2;;7;0;0;46;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;1;1;;;;;;;;;20211118;Tiene RSH
10017;.;Metropolitana;4;1;1;2;;;1;;23;8;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;;;;;;;;;20170101;Tiene RSH
10018;.;Metropolitana;7;1;1;2;;5;0;0;56;1;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;3;1;1;2;;2;2;2;2;1;;;;;;;;;20211126;Tiene RSH
10019;.;Metropolitana;7;1;1;2;;45;0;0;11;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;2;0;2;1;1;2;;;0;20211201;Tiene RSH
10020;.;Metropolitana;7;1;2;2;;10;0;0;30;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210811;Tiene RSH
10021;.;Metropolitana;7;1;1;2;;10;0;0;37;1;1;;2;2;2;5;3;1;3;3;1;1;3;1;1;4;1;1;1;1;1;1;1;2;2;0;2;7;1;2;;;0;20211206;Tiene RSH
10022;.;Metropolitana;6;1;2;2;;4;0;0;40;2;1;;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20211020;Tiene RSH
10023;.;Metropolitana;10;1;2;2;;3;;;;9;1;;;;;;1;1;6;6;1;6;6;6;6;1;1;6;2;;7;7;7;7;;0;2;0;0;;;0;0;20200513;Tiene RSH
10024;.;Metropolitana;7;1;1;2;;10;0;0;6;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;;;;;;;;;20211125;Tiene RSH
10025;.;Metropolitana;7;1;1;2;;0;10;0;52;3;1;;2;2;2;5;4;1;1;3;1;1;1;2;3;3;4;1;1;2;2;2;1;2;2;0;2;4;2;2;;;180000;20220308;Tiene RSH
10026;.;Metropolitana;5;1;1;2;;1;;;25;5;1;;1;1;1;;2;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;1;;;;;;;;;20171115;Tiene RSH
10027;.;Metropolitana;1;1;1;2;;14;;;;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20170101;Tiene RSH
10028;.;Metropolitana;1;1;1;2;;;7;;28;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10029;.;Metropolitana;6;1;1;2;;7;;;8;1;2;5;1;2;2;;1;1;1;4;5;1;3;1;1;4;2;1;2;;1;1;1;2;1;;;;;;;;;20170101;Tiene RSH
10030;.;Metropolitana;10;1;1;2;;;1;;17;1;1;;;;;;3;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;0;2;4;2;1;4;40;0;20171212;Tiene RSH
10031;.;Metropolitana;7;1;1;2;;0;9;0;57;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210712;Tiene RSH
10032;.;Metropolitana;6;1;1;2;;15;0;0;15;5;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;1;;;;;;;;;20210930;Tiene RSH
10033;.;Metropolitana;1;1;1;2;;;2;;;2;2;5;;;;;2;2;1;1;1;1;1;1;1;1;3;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10034;.;Metropolitana;5;1;1;2;;5;0;0;60;1;1;;1;1;1;5;2;4;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20211123;Tiene RSH
10035;.;Metropolitana;7;1;1;2;;34;0;0;12;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;2;0;2;6;1;2;;;177000;20211202;Tiene RSH
10036;.;Metropolitana;1;1;1;2;;4;;;13;1;1;;1;1;1;;6;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;2;1;0;2;4;2;1;4;183333,3333;0;20180806;Tiene RSH
10037;.;Metropolitana;4;1;1;2;;;3;;;1;2;5;;;;;4;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10038;.;Metropolitana;10;1;1;2;;;6;;;1;1;;1;1;1;;1;1;1;3;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;0;1;;;2;;190000;0;20180806;Tiene RSH
10039;.;Metropolitana;6;1;1;2;;15;0;0;8;2;1;;1;1;1;5;2;1;1;3;1;2;2;1;1;2;1;1;2;;2;2;2;2;1;;;;;;;;;20210726;Tiene RSH
10040;.;Metropolitana;1;1;1;2;;20;;;10;1;1;;1;1;1;;3;2;1;1;1;4;4;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10041;.;Metropolitana;1;1;1;2;;;1;;44;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10042;.;Metropolitana;7;1;2;2;;4;;;;1;1;;3;3;2;;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10043;.;Metropolitana;7;1;1;2;;0;6;0;21;1;1;;1;1;1;5;3;1;1;1;1;1;1;4;1;1;1;1;2;;1;1;1;2;2;0;2;3;2;1;2;200000;0;20211115;Tiene RSH
10044;.;Metropolitana;10;1;1;1;2;1;2;;;5;1;;1;3;1;;3;1;3;1;2;1;1;2;1;3;1;1;1;1;1;2;2;2;;0;2;3;2;2;;33333,33333;0;20200513;Tiene RSH
10045;.;Metropolitana;6;1;1;2;;10;0;0;27;1;1;;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;1;;;;;;;;;20210728;Tiene RSH
10046;.;Metropolitana;7;1;1;2;;2;;;;2;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;1;;;;;;;;;20170101;Tiene RSH
10047;.;Metropolitana;10;1;1;2;;;1;;29;2;1;;1;1;1;;1;1;3;1;1;1;3;1;1;1;2;1;2;;2;2;2;2;1;0;2;1;2;1;1;276000;0;20190322;Tiene RSH
10048;.;Metropolitana;1;1;1;2;;2;;;40;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10049;.;Metropolitana;6;1;1;2;;4;0;0;14;7;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;1;;;;;;;;;20211021;Tiene RSH
10050;.;Metropolitana;7;1;1;2;;9;;;7;1;2;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10051;.;Metropolitana;7;1;1;2;;49;0;0;0;1;1;;2;2;2;5;1;1;5;1;5;1;3;3;5;1;1;5;1;2;1;2;2;2;1;;;;;;;;;20210416;Tiene RSH
10052;.;Metropolitana;7;1;1;1;2;30;0;0;17;1;1;;2;2;2;1;2;1;4;1;1;1;1;1;1;2;1;1;2;;2;1;1;2;1;;;;;;;;;20211116;Tiene RSH
10053;.;Metropolitana;1;1;1;2;;0;6;0;12;1;1;;1;1;1;4;1;1;1;3;1;1;2;1;1;4;4;1;1;1;1;1;2;2;1;;;;;;;;;20211012;Tiene RSH
10054;.;Metropolitana;6;1;1;2;;1;;;;5;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;;;;;;;;20170101;Tiene RSH
10055;.;Metropolitana;7;1;1;2;;;6;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;2;0;2;5;1;2;;;;20170101;Tiene RSH
10056;.;Metropolitana;7;1;1;2;;35;0;0;7;7;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;4;1;1;2;;2;1;1;2;1;;;;;;;;;20211020;Tiene RSH
10057;.;Metropolitana;7;1;1;2;;3;0;0;46;1;2;6;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210712;Tiene RSH
10058;.;Metropolitana;2;1;2;1;2;5;0;0;40;3;1;;1;1;1;5;2;1;5;1;3;1;1;5;5;1;1;3;1;1;1;2;2;2;1;;;;;;;;;20211019;Tiene RSH
10059;.;Metropolitana;7;1;1;2;;4;0;0;44;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20210713;Tiene RSH
10060;.;Metropolitana;12;1;2;2;;6;0;0;12;1;1;;1;1;1;5;2;2;1;1;1;1;1;1;1;3;1;1;2;;1;1;2;2;2;0;2;2;3;2;;;0;20210930;Tiene RSH
10061;.;Metropolitana;7;1;1;2;;0;2;0;45;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20211019;Tiene RSH
10062;.;Metropolitana;7;1;1;2;;15;0;0;40;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;;;;;;;;;20211028;Tiene RSH
10063;.;Metropolitana;7;1;1;2;;15;0;0;30;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20210712;Tiene RSH
10064;.;Metropolitana;10;1;1;2;;2;;;10;1;1;;1;1;1;;4;1;2;2;1;2;1;3;1;1;2;1;1;1;1;2;2;1;1;0;2;8;1;1;1;56666,66667;0;20180423;Tiene RSH
10065;.;Metropolitana;7;1;1;2;;1;5;;40;4;2;1;1;1;1;;2;1;1;1;1;1;1;1;1;2;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10066;.;Metropolitana;2;1;1;2;;2;0;0;30;1;1;;1;1;1;5;1;2;1;2;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211116;Tiene RSH
10067;.;Metropolitana;7;1;1;2;;7;0;0;40;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210811;Tiene RSH
10068;.;Metropolitana;10;1;1;2;;2;;;;1;1;;1;1;1;;3;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;1;0;2;4;2;2;;0;0;20180312;Tiene RSH
10069;.;Metropolitana;7;1;1;2;;2;0;0;31;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;1;1;;;;;;;;;20210713;Tiene RSH
10070;.;Metropolitana;1;1;1;2;;;;21;37;9;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10071;.;Metropolitana;7;1;2;2;;0;5;0;64;1;1;;1;1;1;5;2;1;1;2;3;1;1;1;2;3;1;1;1;2;1;2;1;1;2;0;2;4;2;2;;;0;20211019;Tiene RSH
10072;.;Metropolitana;1;1;1;2;;12;0;0;30;1;1;;1;1;1;5;1;1;1;1;1;1;2;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211102;Tiene RSH
10073;.;Metropolitana;4;1;1;2;;0;7;0;14;5;1;;1;1;1;5;3;1;1;3;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211116;Tiene RSH
10074;.;Metropolitana;7;1;1;2;;7;0;0;6;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;1;;;;;;;;;20211014;Tiene RSH
10075;.;Metropolitana;6;1;2;2;;5;0;0;29;5;1;;1;1;1;5;1;1;3;1;3;1;1;1;3;1;1;1;2;;2;1;2;2;1;;;;;;;;;20210730;Tiene RSH
10076;.;Metropolitana;6;1;1;2;;1;0;0;23;5;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;1;;;;;;;;;20211026;Tiene RSH
10077;.;Metropolitana;10;1;1;2;;2;;;8;1;1;;3;3;2;;1;1;3;3;3;1;1;3;1;1;3;3;1;;1;1;2;1;1;0;2;4;2;1;4;50000;0;20190429;Tiene RSH
10078;.;Metropolitana;1;1;1;2;;1;6;;10;2;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20170101;Tiene RSH
10079;.;Metropolitana;10;1;1;2;;10;;;;5;1;;1;1;1;;3;3;3;1;1;4;1;1;1;2;2;2;2;;1;2;2;2;;0;2;0;0;1;4;120000;0;20200513;Tiene RSH
10080;.;Metropolitana;6;1;1;2;;5;;;32;5;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10081;.;Metropolitana;7;1;1;2;;5;;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10082;.;Metropolitana;10;1;1;2;;1;;;;5;1;;1;1;1;;2;3;1;1;1;1;1;1;1;4;1;1;2;;2;2;2;2;1;0;2;2;2;2;;87500;0;20180724;Tiene RSH
10083;.;Metropolitana;7;1;1;2;;1;1;1;32;1;1;;2;2;2;5;1;1;1;3;1;1;2;2;2;4;4;4;1;2;2;2;2;2;1;;;;;;;;;20220304;Tiene RSH
10084;.;Metropolitana;7;1;1;2;;5;;;;5;1;;3;3;2;;4;4;3;4;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;;;;;;;;;20170101;Tiene RSH
10085;.;Metropolitana;7;1;1;2;;10;0;0;56;1;1;;2;2;2;5;1;1;1;1;3;1;2;1;1;1;1;1;2;;1;1;1;1;1;;;;;;;;;20211028;Tiene RSH
10086;.;Metropolitana;1;1;1;2;;1;;;14;1;1;;1;2;2;;1;1;1;9;9;9;9;9;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10087;.;Metropolitana;5;1;1;2;;;;21;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10088;.;Metropolitana;;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;20170622;Tiene RSH
10089;.;Metropolitana;7;1;1;2;;3;0;0;50;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210714;Tiene RSH
10090;.;Metropolitana;5;1;1;2;;2;;;;9;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
10091;.;Metropolitana;7;1;1;2;;5;0;0;0;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20210622;Tiene RSH
10092;.;Metropolitana;6;1;1;2;;1;0;0;20;1;1;;1;1;1;5;3;1;2;2;1;2;2;2;4;4;1;4;1;1;1;2;2;2;1;;;;;;;;;20211027;Tiene RSH
10093;.;Metropolitana;12;1;1;2;;33;0;0;10;1;1;;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;1;1;2;2;2;2;1;;;;;;;;;20211018;Tiene RSH
10094;.;Metropolitana;7;1;1;2;;32;0;0;13;1;1;;2;2;2;5;1;1;4;1;4;1;1;1;4;4;1;1;1;2;1;2;2;2;2;0;2;3;3;2;;;0;20211116;Tiene RSH
10095;.;Metropolitana;1;1;1;2;;;10;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20170101;Tiene RSH
10096;.;Metropolitana;6;1;1;2;;2;;;;1;2;5;1;1;1;;2;1;4;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;;;;;;;;;20170101;Tiene RSH
10097;.;Metropolitana;6;1;2;2;;1;6;0;48;1;1;;1;1;1;2;3;1;1;2;1;1;1;1;1;4;1;1;1;1;1;2;2;2;1;;;;;;;;;20210721;Tiene RSH
10098;.;Metropolitana;7;1;1;2;;5;0;0;0;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210930;Tiene RSH
10099;.;Metropolitana;9;1;1;2;;3;0;0;34;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211006;Tiene RSH
10100;.;Metropolitana;7;1;1;2;;3;0;0;32;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;3;1;1;2;;1;1;1;2;1;;;;;;;;;20211014;Tiene RSH
10101;.;Metropolitana;6;1;1;2;;;;21;;5;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;No tiene RSH
10102;.;Metropolitana;7;1;1;2;;26;0;0;0;1;1;;2;2;2;5;1;1;1;1;5;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20211111;Tiene RSH
10103;.;Metropolitana;1;1;1;2;;10;;;30;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
